taxon_id,scientific_name,common_name,is_final_species,experiment_label,experiment_display_name,domain,reference_label,modalities,image_backbone,sat_backbone,fit_result_path,fit_result_exists,lppd_test,lppd_null_test,lppd_oracle_test,lppd_test_norm,biolith_ap_test,biolith_roc_auc_test,lr_map_test,lr_precision_test,lr_recall_test,lr_f1_test,lr_mcc_test
e07c537d-08b8-4c31-9768-51e4adf5a5ab,Sciurus niger,eastern fox squirrel,True,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/e07c537d-08b8-4c31-9768-51e4adf5a5ab_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-4062.866455078125,-6794.6728515625,-2603.09423828125,0.6517368868684688,0.46702204900082944,0.8161818320744008,0.38379223150111674,0.47878787878787876,0.21351351351351353,0.2953271028037383,0.25727933949472903
e70effd7-855e-4ba3-966c-a4fbb74eab13,Taxidea taxus,american badger,False,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/e70effd7-855e-4ba3-966c-a4fbb74eab13_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-253.8389129638672,-290.5389404296875,-286.203369140625,8.464865416561084,0.12151541399433748,0.8097346972721224,0.12140280282925757,0.07608695652173914,0.21875,0.11290322580645161,0.09762672468023452
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,True,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/f67c4346-bbbd-43d5-9b19-b541d493019b_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-520.813232421875,-659.9481201171875,-281.64984130859375,0.36779149017939383,0.3463717013821609,0.7031028368794326,0.5106111780405669,0.0,0.0,0.0,0.0
f7fb32b6-1531-44e9-a7e2-a3197edafdb9,Ammospermophilus leucurus,white-tailed antelope squirrel,False,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/f7fb32b6-1531-44e9-a7e2-a3197edafdb9_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-179.15231323242188,-340.7539978027344,-160.56483459472656,0.8968446364544232,0.6054779034616616,0.9455555555555556,0.7003837393543276,0.0,0.0,0.0,0.0
febff896-db40-4ac8-bcfe-5bb99a600950,Odocoileus hemionus,mule deer,True,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/febff896-db40-4ac8-bcfe-5bb99a600950_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-3375.45947265625,-2724.113525390625,-1568.8446044921875,-0.5638046133527783,0.20487784396725722,0.37289609260436807,0.17967740619871714,0.10586011342155009,0.19112627986348124,0.1362530413625304,-0.3630214466474385
ffe603fc-4920-4302-96d0-65f708bd5b2d,Urocyon cinereoargenteus,grey fox,False,sat_env_baseline,Sat+env baseline,satellite,,"covariates,sat",,alphaearth,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/ffe603fc-4920-4302-96d0-65f708bd5b2d_modalities_covariates_sat_image_None_sat_alphaearth.pkl,True,-2138.155029296875,-2181.52490234375,-1355.443115234375,0.05250070116983797,0.10427866845148843,0.6747428229665071,0.12863169401861166,0.0,0.0,0.0,0.0
00804e75-09ef-44e5-8984-85e365377d47,Antilocapra americana,pronghorn,False,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/00804e75-09ef-44e5-8984-85e365377d47_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-550.5588989257812,-629.0440063476562,-598.617431640625,2.579492045279022,0.3956934424605162,0.8443192207609537,0.3005325586152519,0.2727272727272727,0.05084745762711865,0.08571428571428572,0.09617545384257543
07843615-e1fc-49d8-9821-fd1d7ff2e773,Dasypus novemcinctus,nine-banded armadillo,True,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/07843615-e1fc-49d8-9821-fd1d7ff2e773_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-3678.069580078125,-3498.2802734375,-2292.262451171875,-0.14907682400818326,0.3574695861584501,0.5701483174261774,0.35022015126431444,0.34269662921348315,0.15762273901808785,0.215929203539823,0.0295919881707507
0f2e2c41-f1bb-4cdd-8e97-ba7cffba3e86,Lepus americanus,snowshoe hare,False,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/0f2e2c41-f1bb-4cdd-8e97-ba7cffba3e86_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-1208.7867431640625,-1289.316162109375,-672.7464599609375,0.13060878383207558,0.12979603547391083,0.7770714418951689,0.11770789939456737,0.0,0.0,0.0,0.0
16ec4010-f175-4de7-8a99-85aadec3963b,Sciurus griseus,western gray squirrel,True,graft_visdiff_sentinel,GRAFT Sentinel refit,satellite,sat_env_baseline,"covariates,sat",dinov2_vitb14,graft_visdiff_sentinel,/data/vision/beery/scratch/esierra/text-sat-hab-mmocc/.cache2/.cache/fit_results/16ec4010-f175-4de7-8a99-85aadec3963b_modalities_covariates_sat_image_dinov2_vitb14_sat_graft_visdiff_sentinel.pkl,True,-356.521728515625,-385.1676025390625,-304.739013671875,0.3561653191595927,0.45915156150821707,0.873697270471464,0.4421004395085606,0.0,0.0,0.0,0.0
